                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.83527,                0.64675,                 1.0797,                0.77121,                0.65217,                0.70055,                0.39694,                 1.5165,                 1.2631,                 1.4772,              0.0013466,              0.0013466,              0.0013466
                     69,                 0.7835,                0.58741,                 1.0254,                0.79067,                0.61584,                0.71089,                0.39595,                 1.5439,                 1.1928,                 1.5356,              0.0013367,              0.0013367,              0.0013367
                     70,                0.80172,                0.59837,                 1.0301,                0.77729,                0.63587,                0.72919,                0.43174,                 1.4527,                 1.1738,                  1.463,              0.0013268,              0.0013268,              0.0013268
                     71,                0.73322,                0.59336,                 1.0301,                0.80263,                0.66305,                 0.7586,                0.43739,                 1.4488,                 1.1466,                 1.4478,              0.0013169,              0.0013169,              0.0013169
                     72,                0.75751,                0.67399,                 1.0232,                0.79054,                0.61535,                0.71555,                 0.4122,                 1.4796,                 1.2134,                 1.4915,               0.001307,               0.001307,               0.001307
                     73,                0.72222,                0.57871,                 1.0094,                0.74402,                0.68478,                0.74507,                0.42883,                 1.4519,                 1.1475,                 1.4468,              0.0012971,              0.0012971,              0.0012971
                     74,                0.82226,                 0.7354,                 1.1335,                0.76357,                  0.625,                0.73016,                 0.4261,                 1.4459,                 1.1809,                 1.4565,              0.0012872,              0.0012872,              0.0012872
                     75,                0.71879,                0.60841,                 1.0203,                0.79537,                  0.625,                0.71782,                0.41077,                 1.5195,                 1.2081,                 1.4848,              0.0012773,              0.0012773,              0.0012773
                     76,                0.74518,                0.57497,                 1.0224,                0.77498,                0.69565,                0.75051,                0.45125,                  1.459,                 1.0434,                 1.4474,              0.0012674,              0.0012674,              0.0012674
                     77,                0.76847,                  0.571,                 1.0357,                0.73603,                0.68195,                0.75529,                0.42897,                 1.5402,                  1.039,                 1.5435,              0.0012575,              0.0012575,              0.0012575
                     78,                0.79068,                0.58761,                 1.0325,                0.72543,                0.66054,                 0.7379,                0.44232,                 1.4687,                 1.1012,                 1.4462,              0.0012476,              0.0012476,              0.0012476
