                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.69379,                 0.5154,                 1.0426,                0.80801,                0.63587,                0.76199,                0.48212,                 1.3371,                0.96845,                  1.381,              0.0004952,              0.0004952,              0.0004952
                     78,                0.70181,                0.53547,                0.98728,                0.74446,                0.71739,                0.75214,                0.47187,                 1.3536,                 1.0041,                 1.3953,              0.0004754,              0.0004754,              0.0004754
                     79,                0.61566,                0.51318,                0.98783,                0.79075,                0.67774,                0.75027,                0.45655,                 1.3816,                0.95056,                 1.3981,              0.0004556,              0.0004556,              0.0004556
                     80,                0.64811,                0.52036,                0.98285,                0.78776,                0.66304,                0.74679,                0.44899,                 1.4136,                0.97645,                 1.4201,              0.0004358,              0.0004358,              0.0004358
                     81,                0.63364,                0.49003,                0.97539,                0.82088,                0.64674,                0.75068,                0.45086,                 1.3944,                 1.0374,                  1.422,               0.000416,               0.000416,               0.000416
                     82,                0.60637,                 0.4753,                0.96743,                0.83583,                0.64674,                0.75877,                 0.4622,                 1.3654,                 1.0318,                 1.4032,              0.0003962,              0.0003962,              0.0003962
                     83,                 0.5833,                0.49489,                0.96305,                0.83041,                0.66531,                0.76416,                0.46568,                  1.356,                0.97936,                 1.3864,              0.0003764,              0.0003764,              0.0003764
                     84,                0.67287,                0.54335,                0.99776,                0.84138,                0.66307,                0.78988,                0.48163,                 1.3634,                0.95081,                 1.3899,              0.0003566,              0.0003566,              0.0003566
                     85,                0.90967,                0.85024,                 1.3165,                0.78784,                0.70635,                 0.7994,                0.49024,                 1.3458,                0.96161,                 1.3711,              0.0003368,              0.0003368,              0.0003368
                     86,                0.66543,                0.51543,                0.99517,                0.75028,                 0.7337,                0.78557,                0.48557,                 1.3514,                0.95929,                 1.3654,               0.000317,               0.000317,               0.000317
                     87,                0.62359,                0.47044,                0.95525,                0.77485,                0.71073,                0.77934,                0.47963,                 1.3552,                0.96245,                 1.3727,              0.0002972,              0.0002972,              0.0002972
                     88,                0.66572,                0.48664,                0.96468,                 0.8156,                0.67935,                0.77822,                0.47651,                 1.3654,                0.95303,                 1.3836,              0.0002774,              0.0002774,              0.0002774
                     89,                0.58315,                0.45791,                0.97163,                0.80061,                0.72015,                0.79795,                0.48832,                 1.3473,                0.93887,                 1.3714,              0.0002576,              0.0002576,              0.0002576
